ID;Objeto;Decisão;Instância;Data Citação;Data Decisão;Status;Justiça;UF;Tribunal;Num. Litisconsortes
ESP.004.364;Objeto 11;Favorável;2;28/03/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SANTOS;0
ESP.004.367;Objeto 42;Desfavorável;1;28/03/2014;;Ativo;Est;SP;3 VARA CÍVEL DE SANTOS;0
ESP.004.367;Objeto 42;Favorável;2;28/03/2014;;Ativo;Est;SP;3 VARA CÍVEL DE SANTOS;0
ESP.004.368;Objeto 42;Favorável;1;28/03/2014;;Ativo;Est;SP;9 VARA CÍVEL DE SANTOS;0
ESP.004.368;Objeto 42;Favorável;2;28/03/2014;;Ativo;Est;SP;9 VARA CÍVEL DE SANTOS;0
ESP.004.372;Objeto 25;Desfavorável;1;02/04/2014;;Ativo;Est;SP;2 VARA CÍVEL DE SANTOS;0
ESP.004.372;Objeto 25;Desfavorável;2;02/04/2014;;Ativo;Est;SP;2 VARA CÍVEL DE SANTOS;0
ESP.004.376;Objeto 42;Favorável;1;08/04/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.376;Objeto 42;Favorável;2;08/04/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.379;Objeto 12;Desfavorável;1;11/04/2014;;Ativo;Est;SP;1 VARA CÍVEL DE CUBATÃO;0
ESP.004.380;Objeto 30;Desfavorável;1;11/04/2014;;Ativo;Est;SP;3 VARA CÍVEL DE SANTOS;0
ESP.004.381;Objeto 47;Desfavorável;1;11/04/2014;;Ativo;Est;SP;1 VARA CÍVEL DE SANTOS;0
ESP.004.383;Objeto 9;Desfavorável;1;11/04/2014;;Ativo;Est;SP;8 VARA CÍVEL DE SANTOS;0
ESP.004.383;Objeto 9;Favorável;2;11/04/2014;;Ativo;Est;SP;8 VARA CÍVEL DE SANTOS;0
ESP.004.386;Objeto 12;Favorável;1;15/04/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.386;Objeto 12;Favorável;2;15/04/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.389;Objeto 9;Desfavorável;1;16/04/2014;;Ativo;Est;SP;5 VARA CÍVEL DE CAMPINAS;0
